mean_energy,std_energy,median_energy,top_bin_1,top_bin_2,top_bin_3,time_mean_mean,time_mean_std,file_id,species
-49.717791297941915,21.032268446677765,-47.212629318237305,23,22,24,-49.717791297941915,8.358337104102977,03-Bullfrog-call-1,american_bullfrog
-32.241435768588374,17.034721083545463,-29.467671394348145,26,27,25,-32.241435768588374,8.412250526995095,375155,american_bullfrog
-46.386172620696286,12.751913534975866,-46.06238555908203,24,23,46,-46.386172620696286,7.454182105103292,American_Bullfrog_(Rana_catesbeiana)_-_Mating_and_Display_Calls,american_bullfrog
-38.74059686075092,12.9347882806741,-40.502079010009766,3,4,24,-38.74059686075092,7.280594423218291,Bellowing_Bullfrog_sends_water_flying!,american_bullfrog
-39.16547532593982,21.27386580970618,-34.259836196899414,26,27,30,-39.16547532593982,7.488463311006909,"Bullfrog,_fastest_and_largest_N._American_frog.",american_bullfrog
-53.91648892843945,18.783121609869863,-52.59082221984863,7,23,22,-53.91648892843945,6.0260039299346335,Bullfrog___Rana_catesbeiana,american_bullfrog
-38.68586584685366,11.362493071791288,-42.25733184814453,26,27,4,-38.68586584685366,8.642678790045773,Bullfrog_calling,american_bullfrog
-42.79471848967319,14.433635604352494,-46.2056884765625,38,37,26,-42.79471848967319,11.252706215657335,Bullfrog_croaking,american_bullfrog
-42.69479844715714,17.771247344088692,-36.70265007019043,39,40,38,-42.69479844715714,1.8272946490890167,Bullfrog_Sounds,american_bullfrog
-52.72399575112867,16.988387362851203,-50.58491897583008,41,40,39,-52.72399575112867,7.241719229972266,Bullfrog_sounds_in_the_night.,american_bullfrog
-38.60897444606934,11.987521843351944,-41.025394439697266,52,51,53,-38.60897444606934,5.05627063001655,Bullfrogs_Croaking,american_bullfrog
-49.273204233143005,20.540298186162406,-47.295654296875,23,22,24,-49.273204233143005,8.498876622711336,dlg_ggpd_n200-g2-m1-2003-c3-track-03,american_bullfrog
-37.80164798783039,12.5426196106122,-38.3009147644043,40,41,32,-37.80164798783039,2.2641606505452914,dlg_ggpd_n200-g2-m1-2003-c3-track-78,american_bullfrog
-54.37215383188354,15.836568727690258,-55.897613525390625,44,45,43,-54.37215383188354,2.9162181926372415,dlg_ggpd_n200-g2-m1-2003-c3-track-79,american_bullfrog
-37.87261592155958,14.556231335220536,-35.5035514831543,43,42,41,-37.87261592155958,4.265092553196482,dlg_ggpd_n200-g2-m1-2003-c3-track-80,american_bullfrog
-47.34847302947479,16.979728388997913,-48.72389602661133,43,42,44,-47.34847302947479,5.498972617255229,dlg_ggpd_n200-g2-m1-2003-c3-track-82,american_bullfrog
