file_id,species,spectrogram_path,shape,dtype,mean,std,med,p10,p90,snr_db
03-Bullfrog-call-1,american_bullfrog,data\spectrograms\american_bullfrog\03-Bullfrog-call-1.npy,"(64, 431)",float32,-49.717791297941915,21.032268446677765,-47.212629318237305,-80.0,-23.701000213623047,0.0
375155,american_bullfrog,data\spectrograms\american_bullfrog\375155.npy,"(64, 431)",float32,-32.241435768588374,17.034721083545463,-29.467671394348145,-55.958586883544925,-12.018890857696533,0.0
American_Bullfrog_(Rana_catesbeiana)_-_Mating_and_Display_Calls,american_bullfrog,data\spectrograms\american_bullfrog\American_Bullfrog_(Rana_catesbeiana)_-_Mating_and_Display_Calls.npy,"(64, 431)",float32,-46.386172620696286,12.751913534975866,-46.06238555908203,-62.084346771240234,-32.499206924438475,0.0
Bellowing_Bullfrog_sends_water_flying!,american_bullfrog,data\spectrograms\american_bullfrog\Bellowing_Bullfrog_sends_water_flying!.npy,"(64, 431)",float32,-38.74059686075092,12.9347882806741,-40.502079010009766,-54.41535758972168,-20.1215087890625,0.0
"Bullfrog,_fastest_and_largest_N._American_frog.",american_bullfrog,"data\spectrograms\american_bullfrog\Bullfrog,_fastest_and_largest_N._American_frog..npy","(64, 431)",float32,-39.16547532593982,21.27386580970618,-34.259836196899414,-80.0,-16.015166854858396,0.0
Bullfrog___Rana_catesbeiana,american_bullfrog,data\spectrograms\american_bullfrog\Bullfrog___Rana_catesbeiana.npy,"(64, 431)",float32,-53.91648892843945,18.783121609869863,-52.59082221984863,-80.0,-30.824372482299804,0.0
Bullfrog_calling,american_bullfrog,data\spectrograms\american_bullfrog\Bullfrog_calling.npy,"(64, 431)",float32,-38.68586584685366,11.362493071791288,-42.25733184814453,-49.87146263122558,-20.699073219299308,0.0
Bullfrog_croaking,american_bullfrog,data\spectrograms\american_bullfrog\Bullfrog_croaking.npy,"(64, 431)",float32,-42.79471848967319,14.433635604352494,-46.2056884765625,-58.838063430786136,-20.20943737030029,0.0
Bullfrog_Sounds,american_bullfrog,data\spectrograms\american_bullfrog\Bullfrog_Sounds.npy,"(64, 431)",float32,-42.69479844715714,17.771247344088692,-36.70265007019043,-80.0,-27.868532943725583,0.0
Bullfrog_sounds_in_the_night.,american_bullfrog,data\spectrograms\american_bullfrog\Bullfrog_sounds_in_the_night..npy,"(64, 431)",float32,-52.72399575112867,16.988387362851203,-50.58491897583008,-80.0,-30.75042152404785,0.0
Bullfrogs_Croaking,american_bullfrog,data\spectrograms\american_bullfrog\Bullfrogs_Croaking.npy,"(64, 431)",float32,-38.60897444606934,11.987521843351944,-41.025394439697266,-49.49501342773438,-19.960293769836426,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-03,american_bullfrog,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2003-c3-track-03.npy,"(64, 431)",float32,-49.273204233143005,20.540298186162406,-47.295654296875,-77.40507431030274,-23.532112121582028,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-78,american_bullfrog,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2003-c3-track-78.npy,"(64, 431)",float32,-37.80164798783039,12.5426196106122,-38.3009147644043,-53.710706329345705,-21.315950202941895,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-79,american_bullfrog,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2003-c3-track-79.npy,"(64, 431)",float32,-54.37215383188354,15.836568727690258,-55.897613525390625,-73.54798431396485,-30.48868541717529,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-80,american_bullfrog,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2003-c3-track-80.npy,"(64, 431)",float32,-37.87261592155958,14.556231335220536,-35.5035514831543,-59.69377746582031,-21.04172306060791,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-82,american_bullfrog,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2003-c3-track-82.npy,"(64, 431)",float32,-47.34847302947479,16.979728388997913,-48.72389602661133,-67.65169143676758,-23.874008178710938,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-85,american_bullfrog,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2003-c3-track-85.npy,"(64, 431)",float32,-49.35459069669108,19.311873759209877,-47.989990234375,-76.17331390380859,-23.949238967895504,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-87,american_bullfrog,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2003-c3-track-87.npy,"(64, 431)",float32,-37.331419688885006,21.852685565525654,-30.34142780303955,-72.76705703735351,-12.753360939025875,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-89,american_bullfrog,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2003-c3-track-89.npy,"(64, 431)",float32,-40.43826359090354,14.812684041880594,-39.897470474243164,-59.99860763549805,-21.311236572265624,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-92,american_bullfrog,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2003-c3-track-92.npy,"(64, 431)",float32,-37.853873719212764,16.32396787946453,-34.22209930419922,-62.02092742919922,-19.310234642028806,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-80,american_bullfrog,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2013-c3-track-80.npy,"(64, 431)",float32,-37.80610307062308,12.568036568212003,-38.28000259399414,-53.76118927001953,-21.293478202819824,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-81,american_bullfrog,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2013-c3-track-81.npy,"(64, 431)",float32,-54.40769753710576,15.840796752596075,-55.94759750366211,-73.59785461425781,-30.502740859985344,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-82,american_bullfrog,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2013-c3-track-82.npy,"(64, 431)",float32,-37.855587646538034,14.561414953075802,-35.45550727844238,-59.65702896118164,-21.03939399719238,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-84,american_bullfrog,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2013-c3-track-84.npy,"(64, 431)",float32,-47.34770092032763,16.979128354455117,-48.71135711669922,-67.66653366088867,-23.86649284362793,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-87,american_bullfrog,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2013-c3-track-87.npy,"(64, 431)",float32,-49.331056142178326,19.320396352062826,-47.971405029296875,-76.09836044311524,-23.91221389770508,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-89,american_bullfrog,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2013-c3-track-89.npy,"(64, 431)",float32,-37.34576605573262,21.857698956991587,-30.334184646606445,-72.7913917541504,-12.774778175354001,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-91,american_bullfrog,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2013-c3-track-91.npy,"(64, 431)",float32,-40.445776940066274,14.815808959087887,-39.88979911804199,-59.98884468078613,-21.306708908081053,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-94,american_bullfrog,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2013-c3-track-94.npy,"(64, 431)",float32,-37.849448051294985,16.34166426124676,-34.189008712768555,-62.0948371887207,-19.321299171447748,0.0
Frog_Calls,american_bullfrog,data\spectrograms\american_bullfrog\Frog_Calls.npy,"(64, 431)",float32,-31.032307096966598,4.875148927652052,-31.442548751831055,-36.15019226074219,-25.665591812133787,0.0
Large_American_bullfrog_making_its_call,american_bullfrog,data\spectrograms\american_bullfrog\Large_American_bullfrog_making_its_call.npy,"(64, 431)",float32,-41.58270193235365,6.276594150425023,-42.481388092041016,-47.90080184936524,-33.74726867675781,0.0
ML107434,american_bullfrog,data\spectrograms\american_bullfrog\ML107434.npy,"(64, 431)",float32,-45.40175671377619,10.958070909839554,-45.197561264038086,-58.21146697998047,-32.31494789123535,0.0
ML110932,american_bullfrog,data\spectrograms\american_bullfrog\ML110932.npy,"(64, 431)",float32,-38.09108726334544,9.735755442140638,-39.96942710876465,-48.396240615844725,-23.143750190734863,0.0
ML144955,american_bullfrog,data\spectrograms\american_bullfrog\ML144955.npy,"(64, 431)",float32,-30.068703996436778,7.717463472726004,-31.855131149291992,-38.01567840576172,-18.616987419128417,0.0
ML164884,american_bullfrog,data\spectrograms\american_bullfrog\ML164884.npy,"(64, 431)",float32,-38.72622744341461,6.847194382892797,-39.20663833618164,-47.034283828735354,-29.93807773590088,0.0
ML166449,american_bullfrog,data\spectrograms\american_bullfrog\ML166449.npy,"(64, 431)",float32,-35.718433644700355,10.950025098650132,-37.51493263244629,-48.65985298156738,-19.060710525512693,0.0
ML166450,american_bullfrog,data\spectrograms\american_bullfrog\ML166450.npy,"(64, 431)",float32,-37.95518882349652,11.492722360355984,-41.29612922668457,-49.728783416748044,-19.587204360961913,0.0
ML166451,american_bullfrog,data\spectrograms\american_bullfrog\ML166451.npy,"(64, 431)",float32,-46.10539441806396,16.348384780444192,-45.29131317138672,-77.50001678466795,-25.742520904541013,0.0
ML166452,american_bullfrog,data\spectrograms\american_bullfrog\ML166452.npy,"(64, 431)",float32,-43.71124070848224,17.19401462625096,-43.29854202270508,-71.53528137207022,-21.533254051208495,0.0
ML166453,american_bullfrog,data\spectrograms\american_bullfrog\ML166453.npy,"(64, 431)",float32,-42.07298816889179,16.148455276890406,-39.19142150878906,-65.74767227172852,-24.378940582275387,0.0
ML166454,american_bullfrog,data\spectrograms\american_bullfrog\ML166454.npy,"(64, 431)",float32,-41.27612869291114,15.049864352655778,-38.97126579284668,-80.0,-26.781100845336912,0.0
ML166455,american_bullfrog,data\spectrograms\american_bullfrog\ML166455.npy,"(64, 431)",float32,-40.515343733685064,17.01948993205984,-38.103126525878906,-68.62513122558587,-21.957039833068844,0.0
ML166456,american_bullfrog,data\spectrograms\american_bullfrog\ML166456.npy,"(64, 431)",float32,-55.079907664255586,11.72952146106082,-57.367774963378906,-67.99922485351563,-37.79181289672851,0.0
ML166457,american_bullfrog,data\spectrograms\american_bullfrog\ML166457.npy,"(64, 431)",float32,-44.11561988646774,5.505078146671574,-43.63530158996582,-50.915341186523435,-38.777003860473634,0.0
ML168994,american_bullfrog,data\spectrograms\american_bullfrog\ML168994.npy,"(64, 431)",float32,-44.25905101295137,9.171856576698909,-46.3845157623291,-52.73097457885742,-32.62880439758301,0.0
ML169722,american_bullfrog,data\spectrograms\american_bullfrog\ML169722.npy,"(64, 431)",float32,-34.79225912797124,19.162905188823885,-31.209797859191895,-66.44520721435536,-13.794673919677733,0.0
ML169723,american_bullfrog,data\spectrograms\american_bullfrog\ML169723.npy,"(64, 431)",float32,-42.3021179877066,17.36831834240137,-40.37015914916992,-78.59449081420894,-21.825057220458984,0.0
ML169724,american_bullfrog,data\spectrograms\american_bullfrog\ML169724.npy,"(64, 431)",float32,-48.82134121148188,14.02511348157912,-47.961917877197266,-77.65320129394523,-32.150066375732415,0.0
ML176270,american_bullfrog,data\spectrograms\american_bullfrog\ML176270.npy,"(64, 431)",float32,-40.63308872344737,15.50324289746083,-43.45505905151367,-58.099985122680664,-16.354049301147462,0.0
