file_id,species,shape,mean,std,snr_db
03-Bullfrog-call-1,american_bullfrog,"(64, 431)",-49.717791297941915,21.032268446677765,0.0
375155,american_bullfrog,"(64, 431)",-32.241435768588374,17.034721083545463,0.0
American_Bullfrog_(Rana_catesbeiana)_-_Mating_and_Display_Calls,american_bullfrog,"(64, 431)",-46.386172620696286,12.751913534975866,0.0
Bellowing_Bullfrog_sends_water_flying!,american_bullfrog,"(64, 431)",-38.74059686075092,12.9347882806741,0.0
"Bullfrog,_fastest_and_largest_N._American_frog.",american_bullfrog,"(64, 431)",-39.16547532593982,21.27386580970618,0.0
Bullfrog___Rana_catesbeiana,american_bullfrog,"(64, 431)",-53.91648892843945,18.783121609869863,0.0
Bullfrog_calling,american_bullfrog,"(64, 431)",-38.68586584685366,11.362493071791288,0.0
Bullfrog_croaking,american_bullfrog,"(64, 431)",-42.79471848967319,14.433635604352494,0.0
Bullfrog_Sounds,american_bullfrog,"(64, 431)",-42.69479844715714,17.771247344088692,0.0
Bullfrog_sounds_in_the_night.,american_bullfrog,"(64, 431)",-52.72399575112867,16.988387362851203,0.0
Bullfrogs_Croaking,american_bullfrog,"(64, 431)",-38.60897444606934,11.987521843351944,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-03,american_bullfrog,"(64, 431)",-49.273204233143005,20.540298186162406,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-78,american_bullfrog,"(64, 431)",-37.80164798783039,12.5426196106122,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-79,american_bullfrog,"(64, 431)",-54.37215383188354,15.836568727690258,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-80,american_bullfrog,"(64, 431)",-37.87261592155958,14.556231335220536,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-82,american_bullfrog,"(64, 431)",-47.34847302947479,16.979728388997913,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-85,american_bullfrog,"(64, 431)",-49.35459069669108,19.311873759209877,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-87,american_bullfrog,"(64, 431)",-37.331419688885006,21.852685565525654,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-89,american_bullfrog,"(64, 431)",-40.43826359090354,14.812684041880594,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-92,american_bullfrog,"(64, 431)",-37.853873719212764,16.32396787946453,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-80,american_bullfrog,"(64, 431)",-37.80610307062308,12.568036568212003,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-81,american_bullfrog,"(64, 431)",-54.40769753710576,15.840796752596075,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-82,american_bullfrog,"(64, 431)",-37.855587646538034,14.561414953075802,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-84,american_bullfrog,"(64, 431)",-47.34770092032763,16.979128354455117,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-87,american_bullfrog,"(64, 431)",-49.331056142178326,19.320396352062826,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-89,american_bullfrog,"(64, 431)",-37.34576605573262,21.857698956991587,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-91,american_bullfrog,"(64, 431)",-40.445776940066274,14.815808959087887,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-94,american_bullfrog,"(64, 431)",-37.849448051294985,16.34166426124676,0.0
Frog_Calls,american_bullfrog,"(64, 431)",-31.032307096966598,4.875148927652052,0.0
Large_American_bullfrog_making_its_call,american_bullfrog,"(64, 431)",-41.58270193235365,6.276594150425023,0.0
ML107434,american_bullfrog,"(64, 431)",-45.40175671377619,10.958070909839554,0.0
ML110932,american_bullfrog,"(64, 431)",-38.09108726334544,9.735755442140638,0.0
ML144955,american_bullfrog,"(64, 431)",-30.068703996436778,7.717463472726004,0.0
ML164884,american_bullfrog,"(64, 431)",-38.72622744341461,6.847194382892797,0.0
